City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
515,inuvik,68.3499,-133.7218,258.63,72,75,3.09,CA,1680452275
516,kidal,18.4411,1.4078,307.6,5,95,2.75,ML,1680452275
517,kisangani,0.5167,25.2,300.02,69,80,0.91,CD,1680452276
518,el dorado,38.7666,-120.5177,280.68,92,100,1.84,US,1680452276
519,tongliao,43.6125,122.2653,288.49,17,100,8.04,CN,1680452276
520,dewas,22.9667,76.0667,298.25,24,3,3.26,IN,1680452152
521,semnan,35.5729,53.3971,285.11,29,49,4.7,IR,1680452276
522,labrea,-7.2586,-64.7981,297.5,90,100,1.67,BR,1680452276
523,havoysund,70.9963,24.6622,273.28,63,99,3.32,NO,1680452277
524,ahuimanu,21.4447,-157.8378,295.47,91,100,3.29,US,1680452277
525,lata,40.1629,-8.3327,294.22,28,48,2.82,PT,1680452277
526,makubetsu,45.3714,141.8211,272.88,70,1,3.12,JP,1680452277
527,lakatoro,-16.0999,167.4164,300.01,84,91,2.71,VU,1680452277
528,atasu,48.6814,71.6433,274.18,54,0,7.6,KZ,1680452277
529,galle,6.0367,80.217,298.85,83,59,0.32,LK,1680452277
530,atbasar,51.8,68.3333,272.16,74,0,4.37,KZ,1680452277
531,concepcion,-36.827,-73.0498,288.04,82,0,4.63,CL,1680452072
532,san andres,12.5847,-81.7006,303.16,66,40,7.72,CO,1680452278
533,the valley,18.217,-63.0578,302.07,74,40,8.75,AI,1680452278
534,tautira,-17.7333,-149.15,301.37,68,90,3.7,PF,1680452278
535,glace bay,46.1969,-59.957,277.64,68,75,6.17,CA,1680452278
536,necochea,-38.5473,-58.7368,296.21,43,100,3.25,AR,1680452278
537,maldonado,-34.6667,-54.9167,296.81,39,76,2.77,UY,1680452279
538,shelburne,44.0787,-80.2041,274.04,44,8,1.14,CA,1680452279
539,laives,46.4228,11.3348,292.14,22,40,5.14,IT,1680452279
540,haines junction,60.7522,-137.5108,258.12,72,60,0.51,CA,1680452279
541,black river,18.0264,-77.8487,302.52,52,40,3.16,JM,1680452279
542,carutapera,-1.195,-46.02,298.82,91,99,1.23,BR,1680452279
543,linjiang,41.8069,126.9078,284.48,44,40,0.54,CN,1680452279
544,chapais,49.7834,-74.8492,259.03,73,79,4.05,CA,1680452279
545,kankipadu,16.45,80.7833,300.21,83,40,2.06,IN,1680452280
546,guerrero negro,27.9769,-114.0611,288.77,69,0,6.02,MX,1680452273
547,aswan,24.0934,32.907,299.93,11,33,3.63,EG,1680452280
548,rozkishne,48.5074,39.3004,283.06,67,91,3.12,UA,1680452280
549,conceicao da barra,-18.5933,-39.7322,301.58,68,59,4.3,BR,1680452280
550,alice springs,-23.7,133.8833,294.38,56,100,3.6,AU,1680452280
551,ailigandi,9.2333,-78.0167,300.4,80,99,5.84,PA,1680452280
552,mizque,-17.941,-65.3402,296.24,52,17,2.08,BO,1680452281
553,yar-sale,66.8333,70.8333,267.58,87,100,3.98,RU,1680452282
554,yenotayevka,47.2456,47.0281,286.27,40,50,3.7,RU,1680452282
555,khandbari,27.3747,87.2039,288.66,78,68,1.19,NP,1680452282
556,gizycko,54.0381,21.7644,276.99,62,99,8.0,PL,1680452282
557,hoima,1.4356,31.3436,294.03,87,66,0.62,UG,1680452283
558,tazovskiy,67.4667,78.7,267.45,89,100,6.62,RU,1680452283
559,guangyuan,32.442,105.823,285.12,83,98,3.57,CN,1680452283
560,sobolevo,54.4299,31.8996,275.97,95,100,4.44,RU,1680452283
561,durango,24.8333,-104.8333,294.61,19,76,1.38,MX,1680452211
562,nanortalik,60.1432,-45.2371,273.73,67,100,2.95,GL,1680452283
563,were ilu,10.6,39.4333,286.75,80,100,2.92,ET,1680452283
564,csemo,47.118,19.6909,286.85,68,87,4.21,HU,1680452284
565,balykshi,47.0667,51.8667,283.15,71,75,2.0,KZ,1680452284
566,victor harbor,-35.5667,138.6167,286.25,83,1,3.42,AU,1680452285
567,ziway,7.9333,38.7167,293.68,66,95,4.75,ET,1680451998
568,erenhot,43.6475,111.9767,276.14,44,100,5.2,CN,1680452285
569,grand-santi,4.25,-54.3833,303.53,53,75,2.18,GF,1680452286
570,sedalia,38.7045,-93.2283,291.1,27,0,7.2,US,1680452163
571,kieta,-6.2167,155.6333,299.84,83,72,1.28,PG,1680452287
572,vardo,70.3705,31.1107,271.14,80,100,5.66,NO,1680452287
573,tevaitoa,-16.7833,-151.5,300.79,74,100,2.55,PF,1680452287
574,inyonga,-6.7167,32.0667,293.49,87,54,1.56,TZ,1680452288
575,saint-pierre,-21.3393,55.4781,298.97,78,100,1.54,RE,1680452288
576,anshun,26.25,105.9333,293.03,42,0,7.08,CN,1680452289
577,bluefield,37.2698,-81.2223,281.68,68,100,2.57,US,1680452290
578,nueve de julio,-35.4444,-60.8831,298.1,30,100,4.77,AR,1680452290
579,teya,60.3778,92.6267,267.23,90,100,5.47,RU,1680452291
